filename,chunks,quarter,call_date
4q24-earnings-transcript.pdf,"['novemb', 'q', 'financi', 'result', 'earn', 'call', 'transcript', 'januari', 'manag', 'discuss', 'section', 'oper', 'good', 'morn', 'ladi', 'gentlemen', 'welcom', 'jpmorganchas', 'fourth', 'quarter', 'earn', 'call', 'call', 'record', 'line', 'mute', 'durat', 'call', 'live', 'present', 'present', 'avail', 'jpmorganchas', 'websit', 'pleas', 'refer', 'disclaim', 'back', 'concern', 'forwardlook', 'statement', 'pleas', 'stand']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['time', 'would', 'like', 'turn', 'call', 'jpmorganchas', 'chairman', 'ceo', 'jami', 'dimon', 'chief', 'financi', 'offic', 'jeremi', 'barnum', 'mr', 'barnum', 'pleas', 'ahead', 'jeremi', 'barnum', 'chief', 'financi', 'offic', 'jpmorganchas', 'thank', 'you', 'good', 'morn', 'everyon', 'firm', 'report', 'net', 'incom', 'billion', 'ep', '', 'revenu', '', 'billion', 'rotc', 'fourthquart', 'result', 'firm', 'report', 'revenu', '', 'billion', '', 'billion', 'yearonyear']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['nii', 'market', 'million', 'driven', 'impact', 'lower', 'rate', 'associ', 'deposit', 'margin', 'compress', 'well', 'lower', 'deposit', 'balanc', 'ccb', 'larg', 'offset', 'impact', 'secur', 'reinvest', 'higher', 'revolv', 'balanc', 'card', 'higher', 'wholesal', 'deposit', 'balanc', 'nir', 'market', '', 'billion', 'exclud', 'prior', 'year', 'net', 'invest', 'secur', 'loss', 'larg', 'higher', 'asset', 'manag', 'fee', 'invest', 'bank', 'fee']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['market', 'revenu', '', 'billion', 'expens', '', 'billion', '', 'billion', 'yearonyear', 'exclud', 'prior', 'year', 'fdic', 'special', 'assess', 'expens', '', 'billion', 'predominantli', 'driven', 'compens', 'well', 'higher', 'brokerag', 'distribut', 'fee', 'credit', 'cost', '', 'billion', 'reflect', 'net', 'chargeoff', '', 'billion', 'net', 'reserv', 'million', 'see', 'report', 'result', 'full', 'year']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['ll', 'remind', 'number', 'signific', 'item', '', 'exclud', 'item', 'firm', 'report', 'net', 'incom', 'billion', 'ep', '', 'revenu', 'billion', 'deliv', 'rotc', 'touch', 'coupl', 'highlight', 'year', 'ccb', 'record', 'number', 'firsttim', 'investor', 'acquir', 'nearli', 'million', 'new', 'card', 'account', 'cib', 'record', 'revenu', 'market', 'payment', 'secur', 'servic']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['awm', 'record', 'longterm', 'net', 'inflow', 'billion', 'posit', 'across', 'channel', 'region', 'asset', 'class', 'balanc', 'sheet', 'capit', 'page', 'end', 'quarter', 'cet', 'ratio', '', 'basi', 'point', 'versu', 'prior', 'quarter', 'net', 'incom', 'lower', 'rwa', 'larg', 'offset', 'oci', 'loss', 'capit', 'distribut', 'includ', 'billion', 'net', 'common', 'share', 'repurchas', 'quarter']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['billion', 'decreas', 'rwa', 'reflect', 'season', 'declin', 'market', 'activ', 'lower', 'wholesal', 'lend', 'predominantli', 'offset', 'season', 'increas', 'card', 'now', 'let', 'busi', 'start', 'ccb', 'page', 'ccb', 'report', 'net', 'incom', '', 'billion', 'revenu', '', 'billion', 'yearonyear']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['bank', 'wealth', 'manag', 'revenu', 'yearonyear', 'deposit', 'margin', 'compress', 'lower', 'deposit', 'partial', 'offset', 'growth', 'wealth', 'manag', 'revenu', 'averag', 'deposit', 'yearonyear', 'flat', 'sequenti', 'consum', 'balanc', 'stabil', 'client', 'invest', 'asset', 'yearonyear', 'predominantli', 'driven', 'market', 'perform', 'continu', 'see', 'healthi', 'flow', 'across', 'branch', 'digit', 'channel']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['home', 'lend', 'revenu', 'yearonyear', 'predominantli', 'driven', 'higher', 'product', 'revenu', 'turn', 'card', 'servic', 'auto', 'revenu', 'yearonyear', 'larg', 'driven', 'card', 'nii', 'higher', 'revolv', 'balanc', 'card', 'outstand', 'due', 'strong', 'account', 'acquisit', 'revolv', 'growth', 'auto', 'origin', '', 'billion', 'reflect', 'higher', 'leas', 'volum', 'robust', 'new', 'vehicl', 'inventori']",4Q24,2025-01-15
4q24-earnings-transcript.pdf,"['expens', '', 'billion', 'yearonyear', 'predominantli', 'driven', 'field', 'compens', 'growth', 'technolog', 'term', 'credit', 'perform', 'quarter', 'credit', 'cost', '', 'billion', 'reflect', 'net', 'chargeoff', '', 'billion', 'million', 'yearonyear', 'driven', 'card', 'net', 'reserv', 'build', 'million', 'predominantli', 'driven', 'higher', 'card', 'revolv', 'balanc', 'next', 'commerci', 'invest', 'bank', 'page']",4Q24,2025-01-15
