file_name,chunks,quarter
video_2024_Q1_1,"['good', 'morn', 'everybodi', 'welcom', 'banco', 'santand', 'confer', 'call', 'discuss', 'financi', 'result', 'first', 'quarter', '', 'remind', 'result', 'report', 'present', 'follow', 'today', 'avail', 'websit', 'let', 'highlight', 'first', 'full', 'quarter', 'publish', 'result', 'global', 'busi', 'primari', 'report', 'align', 'way', 'manag', 'announc', 'late', 'last', 'year']",2024 Q1
video_2024_Q1_1,"['secondari', 'report', 'use', 'primari', 'mainli', 'countri', 'report', 'european', 'dcb', 'etc', 'explain', 'later', 'chang', 'versu', 'previou', 'period', 'done', 'constant', 'euro', 'except', 'argentina', 'present', 'current', 'euro', 'avoid', 'distort', 'inform', 'alway', 'avail', 'excel', 'sheet', 'report', 'publish', 'websit']",2024 Q1
video_2024_Q1_1,"['present', 'join', 'today', 'ceo', 'mr', 'ektorgrisi', 'ceo', 'mr', 'jo', 'garca', 'cantera', 'follow', 'present', 'open', 'floor', 'question', 'may', 'session', 'remind', 'would', 'like', 'ask', 'question', 'pleas', 'press', 'star', 'five', 'phone', 'thi', 'hand', 'mr', 'ektorgrisi', 'hector', 'floor', 'your', 'thank', 'you', 'begonia', 'good', 'morn', 'everyon', 'thank', 'join']",2024 Q1
video_2024_Q1_1,"['first', 'let', 'share', 'focu', 'today', 'first', 'talk', 'result', 'context', 'strategi', 'second', 'jo', 'review', 'financi', 'perform', 'greater', 'detail', 'conclud', 'final', 'messag', 'let', 'start', 'anoth', 'strong', 'quarter', 'santand', 'posit', 'contribut', 'busi', 'demonstr', 'strength', 'strategi', 'busi', 'model', 'present', 'profit', '', 'billion']",2024 Q1
video_2024_Q1_1,"['that', 'increas', 'versu', 'cost', 'euro', 'begonia', 'said', 'exclud', 'impact', 'temporari', 'levi', 'revenu', 'paid', 'spain', 'record', 'full', 'includ', 'that', 'anoth', 'record', 'custom', 'focu', 'scale', 'drive', 'profit', 'growth', 'last', 'year', 'welcom', 'million', 'new', 'custom', 'revenu', 'increas', 'close', 'doublede', 'yearonyear', 'cost', 'euro', 'support', 'global', 'busi', 'region']",2024 Q1
video_2024_Q1_1,"['execut', 'transform', 'plan', 'alreadi', 'support', 'effici', 'improv', 'lead', 'growth', 'profit', 'result', 'effici', 'ratio', 'improv', '', 'percentag', 'point', 'yearonyear', '', 'net', 'oper', 'incom', 'grown', 'doublede', 'yearonyear', 'last', 'eight', 'quarter', 'return', 'valuabl', 'equiti', 'rose', 'basi', 'point', 'yearonyear', '', 'even', 'more', '', 'analyz', 'impact', 'temporari', 'levi', 'spain']",2024 Q1
video_2024_Q1_1,"['final', 'solid', 'balanc', 'sheet', 'capit', 'ratio', 'robust', 'credit', 'qualiti', 'contribut', 'strong', 'profit', 'growth', 'importantli', 'sharehold', 'valu', 'creation', 'tina', 'ploseviden', 'per', 'share', 'grew', 'yearonyear', 'combin', 'higher', 'profit', 'increas', 'sharehold', 'remuner', 'fewer', 'share', 'due', 'buyback', 'program', 'still', 'execut', 'last', 'month', 'increas', 'tina', '', 'billion']",2024 Q1
video_2024_Q1_1,"['take', 'quick', 'look', 'incom', 'statement', 'usual', 'present', 'growth', 'boast', 'current', 'euro', 'cost', 'euro', 'although', 'materi', 'differ', 'quarter', 'part', 'reason', 'first', 'time', 'oper', 'constant', 'euro', 'appli', 'countri', 'except', 'argentina', 'incur', 'euro', 'mitig', 'distort', 'hyperinfl', 'strong', 'top', 'bottom']",2024 Q1
video_2024_Q1_1,"['strong', 'top', 'number', 'one', 'strong', 'top', 'line', 'perform', 'driven', 'nii', 'record', 'fee', 'support', 'said', 'global', 'busi', 'region', 'second', 'revenu', 'grew', 'costremin', 'flattissu', 'realterm', 'languag', 'expect', 'rel', 'stabl', 'last', 'three', 'quarter', 'third', 'demonstr', 'sustain', 'result', 'growth', 'net', 'oper', 'incom', 'fourth', 'lowloss', 'provis', 'continu', 'normal', 'suspect']",2024 Q1
video_2024_Q1_1,"['final', 'mention', 'earlier', 'first', 'quarter', 'record', 'million', 'charg', 'relat', 'temporari', 'spane', 'higher', '', 'exclud', 'impact', 'profit', 'grow', 'yearonyear', 'play', 'growth', 'constant', 'euro', 'jose', 'detail', 'later', 'see', 'great', 'start', 'year', 'wellentract', 'achiev', 'target', 'target', 'comfort', 'rate', 'rate']",2024 Q1
video_2024_Q1_1,"['good', 'busi', 'dynam', 'support', 'highsingl', 'digit', 'revenu', 'growth', 'effici', 'ratio', 'improv', 'even', 'invest', 'futur', 'one', 'transform', 'alreadi', 'better', 'target', '', 'cost', 'risk', 'remain', 'fairli', 'stabl', 'languag', 'target', 'keep', 'around', '', 'end', 'year']",2024 Q1
video_2024_Q1_1,"['fullyload', 'ct', 'ratio', 'remain', '', 'profit', 'grown', 'reason', 'organ', 'accru', 'distribut', 'line', 'payout', 'absorb', 'regulatori', 'impact', 'comfort', 'line', 'target', 'keep', 'even', 'basel', 'iii', 'implement', 'rotegrew', 'yearonyear', '', 'put', 'also', 'track', 'reach', 'target']",2024 Q1
video_2024_Q1_1,"['clearli', 'see', 'achiev', 'result', 'back', 'oper', 'leverag', 'provid', 'one', 'transform', 'improv', 'revenu', 'cost', 'effici', 'captur', 'impact', 'activ', 'spread', 'manag', 'alreadi', 'contribut', 'basi', 'point', 'improv', 'sinc', '', 'global', 'busi', 'continu', 'contribut', 'group', 'profit', 'deliv', 'basi', 'point', 'effici', 'gain']",2024 Q1
video_2024_Q1_1,"['initi', 'better', 'serv', 'multin', 'corpor', 'sme', 'region', 'coverag', 'model', 'continu', 'grow', 'well', 'revenu', 'increas', 'yearonyear', 'final', 'proprietari', 'uniqu', 'global', 'technolog', 'capabl', 'alreadi', 'gener', 'basi', 'point', 'effici', 'save', 'far', 'global', 'approach', 'technolog', 'allow', 'captur', 'million', 'addit', 'save', 'total', 'million', 'sinc']",2024 Q1
video_2024_Q1_1,"['mainli', 'driven', 'deploy', 'graviti', 'new', 'global', 'agreement', 'vendor', 'process', 'optim', 'new', 'oper', 'implement', 'new', 'op', 'share', 'servic', 'busi', 'group', 'overview', 'show', 'common', 'oper', 'model', 'support', 'valu', 'creation', 'base', 'profit', 'growth']",2024 Q1
video_2024_Q1_1,"['creation', 'bestinclass', 'custom', 'experi', 'oper', 'leverag', 'global', 'platform', 'common', 'tech', 'help', 'acceler', 'achiev', 'investorday', 'target', 'oper', 'leverag', 'alreadi', 'evid', 'retail', 'consum', 'busi', 'effici', 'ratio', 'improv', 'close', 'basi', 'point', 'basi', 'point', 'yearonyear', 'respect']",2024 Q1
video_2024_Q1_1,"['cab', 'build', 'worldclass', 'busi', 'leverag', 'area', 'expertis', 'grow', 'franchis', 'without', 'chang', 'risk', 'profil', 'proof', 'revenu', 'grew', 'reach', 'anoth', 'quarterli', 'record', 'support', 'good', 'perform', 'strong', 'client', 'flow', 'wealth', 'continu', 'strongli', 'improv', 'effici', 'profit', 'final', 'payment', 'manag', 'million', 'card', 'groupwid', 'see', 'good', 'activ', 'trend']",2024 Q1
video_2024_Q1_1,"['q', 'onetim', 'revenu', 'commerci', 'agreement', 'one', 'partner', 'brazil', 'exclud', 'impact', 'revenu', 'grew', 'effici', 'remain', 'flat', 'yearonyear', 'despit', 'invest', 'deploy', 'global', 'platform', 'now', 'let', 'look', 'busi', 'greater', 'detail', 'first', 'goal', 'retail', 'becom', 'number', 'one', 'bank', 'custom', 'key', 'strategi']",2024 Q1
video_2024_Q1_1,"['time', 'retail', 'busi', 'great', 'exampl', 'demonstr', 'benefit', 'gener', 'one', 'transform', 'oper', 'leverag', 'significantli', 'improv', 'effici', 'ratio', 'first', 'continu', 'innov', 'offer', 'best', 'custom', 'experi', 'exampl', 'spain', 'new', 'digit', 'onboard', 'contribut', '', 'increas', 'net', 'new', 'custom', 'yearonyear']",2024 Q1
video_2024_Q1_1,"['santa', 'key', 'alreadi', 'enabl', 'million', 'custom', 'approv', 'transact', 'singl', 'click', 'use', 'biometr', 'second', 'continu', 'implement', 'common', 'oper', 'model', 'across', 'bank', 'increas', 'autom', 'free', 'time', 'peopl', 'focu', 'commerci', 'activ', 'result', 'dedic', 'resourc', 'noncommerci', 'activ', 'drop', 'last', 'nine', 'month']",2024 Q1
video_2024_Q1_1,"['third', 'deploy', 'global', 'platform', 'continut', 'graviti', 'alreadi', 'oper', 'spain', 'chile', 'financi', 'perspect', 'also', 'great', 'moment', 'retail']",2024 Q1
video_2024_Q1_1,"['manag', 'margin', 'care', 'make', 'tailwind', 'higher', 'longer', 'interest', 'rate', 'europ', 'time', 'benefit', 'neg', 'sensit', 'interest', 'rate', 'south', 'america', 'top', 'strong', 'oper', 'leverag', 'obtain', 'one', 'transform', 'result', 'profit', 'grew', 'yearonyear', 'follow', 'thing', 'highlight']",2024 Q1
